"Order_ID;""Order_Date"";""Ship_Date"";""Ship_Mode"";""Customer_ID"";""Customer_Name"";""Segment"";""Country"";""City"";""State"";""Postal_Code"";""Region"";""Product_ID"";""Category"";""Sub_Category"";""Product_Name"";""Sales"";""Quantity"";""Discount"";""Profit""",,,,,
"CA-2014-161018;""2014-10-11"";""2014-12-11"";""Second Class"";""PN-18775"";""Parhena Norris"";""Home Office"";""United States"";""New York City"";""New York"";""10009"";""East"";""FUR-FU-10000629"";""Furniture"";""Furnishings"";""9-3/4 Diameter Round Wall Clock"";96.53;7;0.0;40.5426",,,,,
"CA-2013-149223;""2013-07-09"";""2013-12-09"";""Standard Class"";""ER-13855"";""Elpida Rittenbach"";""Corporate"";""United States"";""Saint Paul"";""Minnesota"";""55106"";""Central"";""OFF-AP-10000358"";""Office Supplies"";""Appliances"";""Fellowes Basic Home/Office Series Surge Protectors"";77.88;6;0.0;22.5852",,,,,
"CA-2013-129903;""2013-02-12"";""2013-05-12"";""Second Class"";""GZ-14470"";""Gary Zandusky"";""Consumer"";""United States"";""Rochester"";""Minnesota"";""55901"";""Central"";""OFF-PA-10004040"";""Office Supplies"";""Paper"";""Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)"";23.92;4;0.0;11.7208",,,,,
"CA-2013-128867;""2013-04-11"";""2013-11-11"";""Standard Class"";""CL-12565"";""Clay Ludtke"";""Consumer"";""United States"";""Urbandale"";""Iowa"";""50322"";""Central"";""OFF-AR-10000380"";""Office Supplies"";""Art"";""Hunt PowerHouse Electric Pencil Sharpener"," Blue"";75.96;2;0.0;22.788",,,,
"CA-2013-128867;""2013-04-11"";""2013-11-11"";""Standard Class"";""CL-12565"";""Clay Ludtke"";""Consumer"";""United States"";""Urbandale"";""Iowa"";""50322"";""Central"";""OFF-BI-10003981"";""Office Supplies"";""Binders"";""Avery Durable Plastic 1"""" Binders"""""";27.24;6;0.0;13.3476",,,,,
"CA-2012-110457;""2012-02-03"";""2012-06-03"";""Standard Class"";""DK-13090"";""Dave Kipp"";""Consumer"";""United States"";""Seattle"";""Washington"";""98103"";""West"";""FUR-TA-10001768"";""Furniture"";""Tables"";""Hon Racetrack Conference Tables"";787.53;3;0.0;165.381",,,,,
"US-2012-136476;""2012-05-04"";""2012-10-04"";""Standard Class"";""GG-14650"";""Greg Guthrie"";""Corporate"";""United States"";""Bristol"";""Tennessee"";""37620"";""South"";""OFF-BI-10003650"";""Office Supplies"";""Binders"";""GBC DocuBind 300 Electric Binding Machine"";157.794;1;0.7;-115.716",,,,,
"US-2013-125969;""2013-07-11"";""2013-11-11"";""Second Class"";""LS-16975"";""Lindsay Shagiari"";""Home Office"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""FUR-CH-10001146"";""Furniture"";""Chairs"";""Global Task Chair"," Black"";81.424;2;0.2;-9.1602",,,,
"US-2013-125969;""2013-07-11"";""2013-11-11"";""Second Class"";""LS-16975"";""Lindsay Shagiari"";""Home Office"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""FUR-FU-10003773"";""Furniture"";""Furnishings"";""Eldon Cleatmat Plus Chair Mats for High Pile Carpets"";238.56;3;0.0;26.2416",,,,,
"US-2014-164147;""2014-03-02"";""2014-06-02"";""First Class"";""DW-13585"";""Dorothy Wardle"";""Corporate"";""United States"";""Columbus"";""Ohio"";""43229"";""East"";""TEC-PH-10002293"";""Technology"";""Phones"";""Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5"";59.97;5;0.4;-11.994",,,,,
"US-2014-164147;""2014-03-02"";""2014-06-02"";""First Class"";""DW-13585"";""Dorothy Wardle"";""Corporate"";""United States"";""Columbus"";""Ohio"";""43229"";""East"";""OFF-PA-10002377"";""Office Supplies"";""Paper"";""Xerox 1916"";78.304;2;0.2;29.364",,,,,
"US-2014-164147;""2014-03-02"";""2014-06-02"";""First Class"";""DW-13585"";""Dorothy Wardle"";""Corporate"";""United States"";""Columbus"";""Ohio"";""43229"";""East"";""OFF-FA-10002780"";""Office Supplies"";""Fasteners"";""Staples"";21.456;9;0.2;6.9732",,,,,
"CA-2013-110366;""2013-06-09"";""2013-08-09"";""Second Class"";""JD-15895"";""Jonathan Doherty"";""Corporate"";""United States"";""Philadelphia"";""Pennsylvania"";""19140"";""East"";""FUR-FU-10004848"";""Furniture"";""Furnishings"";""Howard Miller 13-3/4"""" Diameter Brushed Chrome Round Wall Clock"""""";82.8;2;0.2;10.35",,,,,
"CA-2012-110744;""2012-07-09"";""2012-12-09"";""Standard Class"";""HA-14920"";""Helen Andreada"";""Consumer"";""United States"";""Pasadena"";""California"";""91104"";""West"";""OFF-ST-10003656"";""Office Supplies"";""Storage"";""Safco Industrial Wire Shelving"";671.93;7;0.0;20.1579",,,,,
"CA-2013-114489;""2013-06-12"";""2013-10-12"";""Standard Class"";""JE-16165"";""Justin Ellison"";""Corporate"";""United States"";""Franklin"";""Wisconsin"";""53132"";""Central"";""TEC-PH-10000215"";""Technology"";""Phones"";""Plantronics Cordless Phone Headset with In-line Volume - M214C"";384.45;11;0.0;103.801",,,,,
"CA-2013-114489;""2013-06-12"";""2013-10-12"";""Standard Class"";""JE-16165"";""Justin Ellison"";""Corporate"";""United States"";""Franklin"";""Wisconsin"";""53132"";""Central"";""TEC-PH-10001448"";""Technology"";""Phones"";""Anker Astro 15000mAh USB Portable Charger"";149.97;3;0.0;5.9988",,,,,
"CA-2013-114489;""2013-06-12"";""2013-10-12"";""Standard Class"";""JE-16165"";""Justin Ellison"";""Corporate"";""United States"";""Franklin"";""Wisconsin"";""53132"";""Central"";""FUR-CH-10000454"";""Furniture"";""Chairs"";""Hon Deluxe Fabric Upholstered Stacking Chairs"," Rounded Back"";1951.84;8;0.0;585.552",,,,
"CA-2013-114489;""2013-06-12"";""2013-10-12"";""Standard Class"";""JE-16165"";""Justin Ellison"";""Corporate"";""United States"";""Franklin"";""Wisconsin"";""53132"";""Central"";""OFF-BI-10002735"";""Office Supplies"";""Binders"";""GBC Prestige Therm-A-Bind Covers"";171.55;5;0.0;80.6285",,,,,
"CA-2011-104269;""2011-01-03"";""2011-06-03"";""Second Class"";""DB-13060"";""Dave Brooks"";""Consumer"";""United States"";""Seattle"";""Washington"";""98115"";""West"";""FUR-CH-10004063"";""Furniture"";""Chairs"";""Global Deluxe High-Back Manager's Chair"";457.568;2;0.2;51.4764",,,,,
"CA-2013-113817;""2013-08-11"";""2013-12-11"";""Standard Class"";""MJ-17740"";""Max Jones"";""Consumer"";""United States"";""Seattle"";""Washington"";""98115"";""West"";""OFF-BI-10004002"";""Office Supplies"";""Binders"";""Wilson Jones International Size A4 Ring Binders"";27.68;2;0.2;9.688",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""OFF-AR-10004441"";""Office Supplies"";""Art"";""BIC Brite Liner Highlighters"";9.936;3;0.2;2.7324",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""TEC-MA-10000822"";""Technology"";""Machines"";""Lexmark MX611dhe Monochrome Laser Printer"";8159.95;8;0.4;-1359.99",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""OFF-ST-10000991"";""Office Supplies"";""Storage"";""Space Solutions HD Industrial Steel Shelving."";275.928;3;0.2;-58.6347",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""FUR-CH-10004287"";""Furniture"";""Chairs"";""SAFCO Arco Folding Chair"";1740.06;9;0.3;-24.858",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""OFF-AR-10002656"";""Office Supplies"";""Art"";""Sanford Liquid Accent Highlighters"";32.064;6;0.2;6.8136",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""OFF-AP-10002518"";""Office Supplies"";""Appliances"";""Kensington 7 Outlet MasterPiece Power Center"";177.98;5;0.8;-453.849",,,,,
"CA-2011-139892;""2011-08-09"";""2011-12-09"";""Standard Class"";""BM-11140"";""Becky Martin"";""Consumer"";""United States"";""San Antonio"";""Texas"";""78207"";""Central"";""TEC-PH-10003931"";""Technology"";""Phones"";""JBL Micro Wireless Portable Bluetooth Speaker"";143.976;3;0.2;8.9985",,,,,
"CA-2011-118962;""2011-05-08"";""2011-09-08"";""Standard Class"";""CS-12130"";""Chad Sievert"";""Consumer"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""OFF-PA-10000659"";""Office Supplies"";""Paper"";""Adams Phone Message Book", Professional, 400 Message Capacity," 5 3/6” x 11”"";20.94;3;0.0;9.8418",,
"CA-2011-118962;""2011-05-08"";""2011-09-08"";""Standard Class"";""CS-12130"";""Chad Sievert"";""Consumer"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""OFF-PA-10001144"";""Office Supplies"";""Paper"";""Xerox 1913"";110.96;2;0.0;53.2608",,,,,
"CA-2011-118962;""2011-05-08"";""2011-09-08"";""Standard Class"";""CS-12130"";""Chad Sievert"";""Consumer"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""FUR-CH-10003817"";""Furniture"";""Chairs"";""Global Value Steno Chair"," Gray"";340.144;7;0.2;21.259",,,,
"CA-2011-166191;""2011-05-12"";""2011-09-12"";""Second Class"";""DK-13150"";""David Kendrick"";""Corporate"";""United States"";""Decatur"";""Illinois"";""62521"";""Central"";""OFF-ST-10003455"";""Office Supplies"";""Storage"";""Tenex File Box", Personal Filing Tote with Lid," Black"";24.816;2;0.2;1.8612",,,
"CA-2011-166191;""2011-05-12"";""2011-09-12"";""Second Class"";""DK-13150"";""David Kendrick"";""Corporate"";""United States"";""Decatur"";""Illinois"";""62521"";""Central"";""TEC-AC-10004659"";""Technology"";""Accessories"";""Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB"";408.744;7;0.2;76.6395",,,,,
"CA-2011-133690;""2011-03-08"";""2011-05-08"";""First Class"";""BS-11755"";""Bruce Stewart"";""Consumer"";""United States"";""Denver"";""Colorado"";""80219"";""West"";""FUR-TA-10004289"";""Furniture"";""Tables"";""BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables"";218.75;2;0.5;-161.875",,,,,
"CA-2011-133690;""2011-03-08"";""2011-05-08"";""First Class"";""BS-11755"";""Bruce Stewart"";""Consumer"";""United States"";""Denver"";""Colorado"";""80219"";""West"";""OFF-AP-10003622"";""Office Supplies"";""Appliances"";""Bravo II Megaboss 12-Amp Hard Body Upright", Replacement Belts," 2 Belts per Pack"";2.6;1;0.2;0.2925",,,
"CA-2014-126382;""2014-04-06"";""2014-08-06"";""Standard Class"";""HK-14890"";""Heather Kirkland"";""Corporate"";""United States"";""Franklin"";""Tennessee"";""37064"";""South"";""FUR-FU-10002960"";""Furniture"";""Furnishings"";""Eldon 200 Class Desk Accessories"," Burgundy"";35.168;7;0.2;9.6712",,,,
"CA-2014-135860;""2014-02-12"";""2014-08-12"";""Standard Class"";""JH-15985"";""Joseph Holt"";""Consumer"";""United States"";""Saginaw"";""Michigan"";""48601"";""Central"";""OFF-ST-10000642"";""Office Supplies"";""Storage"";""Tennsco Lockers"," Gray"";83.92;4;0.0;5.8744",,,,
"CA-2014-135860;""2014-02-12"";""2014-08-12"";""Standard Class"";""JH-15985"";""Joseph Holt"";""Consumer"";""United States"";""Saginaw"";""Michigan"";""48601"";""Central"";""TEC-PH-10001700"";""Technology"";""Phones"";""Panasonic KX-TG6844B Expandable Digital Cordless Telephone"";131.98;2;0.0;35.6346",,,,,
"CA-2014-135860;""2014-02-12"";""2014-08-12"";""Standard Class"";""JH-15985"";""Joseph Holt"";""Consumer"";""United States"";""Saginaw"";""Michigan"";""48601"";""Central"";""OFF-BI-10003274"";""Office Supplies"";""Binders"";""Avery Durable Slant Ring Binders"," No Labels"";15.92;4;0.0;7.4824",,,,
"CA-2014-135860;""2014-02-12"";""2014-08-12"";""Standard Class"";""JH-15985"";""Joseph Holt"";""Consumer"";""United States"";""Saginaw"";""Michigan"";""48601"";""Central"";""OFF-FA-10000134"";""Office Supplies"";""Fasteners"";""Advantus Push Pins"," Aluminum Head"";52.29;9;0.0;16.2099",,,,
"CA-2014-135860;""2014-02-12"";""2014-08-12"";""Standard Class"";""JH-15985"";""Joseph Holt"";""Consumer"";""United States"";""Saginaw"";""Michigan"";""48601"";""Central"";""OFF-ST-10001522"";""Office Supplies"";""Storage"";""Gould Plastics 18-Pocket Panel Bin"," 34w x 5-1/4d x 20-1/2h"";91.99;1;0.0;3.6796",,,,
"CA-2012-146262;""2012-02-01"";""2012-09-01"";""Standard Class"";""VW-21775"";""Victoria Wilson"";""Corporate"";""United States"";""Medina"";""Ohio"";""44256"";""East"";""OFF-LA-10004544"";""Office Supplies"";""Labels"";""Avery 505"";23.68;2;0.2;8.88",,,,,
"CA-2012-146262;""2012-02-01"";""2012-09-01"";""Standard Class"";""VW-21775"";""Victoria Wilson"";""Corporate"";""United States"";""Medina"";""Ohio"";""44256"";""East"";""FUR-BO-10004695"";""Furniture"";""Bookcases"";""O'Sullivan 2-Door Barrister Bookcase in Odessa Pine"";452.45;5;0.5;-244.323",,,,,
"CA-2012-146262;""2012-02-01"";""2012-09-01"";""Standard Class"";""VW-21775"";""Victoria Wilson"";""Corporate"";""United States"";""Medina"";""Ohio"";""44256"";""East"";""TEC-PH-10002844"";""Technology"";""Phones"";""Speck Products Candyshell Flip Case"";62.982;3;0.4;-14.6958",,,,,
"CA-2012-146262;""2012-02-01"";""2012-09-01"";""Standard Class"";""VW-21775"";""Victoria Wilson"";""Corporate"";""United States"";""Medina"";""Ohio"";""44256"";""East"";""TEC-MA-10000864"";""Technology"";""Machines"";""Cisco 9971 IP Video Phone Charcoal"";1188.0;9;0.7;-950.4",,,,,
"CA-2012-146262;""2012-02-01"";""2012-09-01"";""Standard Class"";""VW-21775"";""Victoria Wilson"";""Corporate"";""United States"";""Medina"";""Ohio"";""44256"";""East"";""TEC-AC-10000109"";""Technology"";""Accessories"";""Sony Micro Vault Click 16 GB USB 2.0 Flash Drive"";89.584;2;0.2;4.4792",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""OFF-PA-10003349"";""Office Supplies"";""Paper"";""Xerox 1957"";25.92;5;0.2;9.396",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""FUR-FU-10000576"";""Furniture"";""Furnishings"";""Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base"";419.68;5;0.6;-356.728",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""FUR-FU-10004351"";""Furniture"";""Furnishings"";""Staples"";11.688;3;0.6;-4.6752",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""TEC-PH-10000011"";""Technology"";""Phones"";""PureGear Roll-On Screen Protector"";31.984;2;0.2;11.1944",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""FUR-TA-10002607"";""Furniture"";""Tables"";""KI Conference Tables"";177.225;5;0.5;-120.513",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""FUR-FU-10002505"";""Furniture"";""Furnishings"";""Eldon 100 Class Desk Accessories"";4.044;3;0.6;-2.8308",,,,,
"CA-2013-157749;""2013-05-06"";""2013-10-06"";""Second Class"";""KL-16645"";""Ken Lonsdale"";""Consumer"";""United States"";""Chicago"";""Illinois"";""60610"";""Central"";""OFF-AR-10004685"";""Office Supplies"";""Art"";""Binney & Smith Crayola Metallic Colored Pencils"," 8-Color Set"";7.408;2;0.2;1.2038",,,,
"CA-2011-131926;""2011-01-06"";""2011-06-06"";""Second Class"";""DW-13480"";""Dianna Wilson"";""Home Office"";""United States"";""Lakeville"";""Minnesota"";""55044"";""Central"";""FUR-CH-10004063"";""Furniture"";""Chairs"";""Global Deluxe High-Back Manager's Chair"";2001.86;7;0.0;580.539",,,,,
"CA-2011-131926;""2011-01-06"";""2011-06-06"";""Second Class"";""DW-13480"";""Dianna Wilson"";""Home Office"";""United States"";""Lakeville"";""Minnesota"";""55044"";""Central"";""OFF-ST-10002276"";""Office Supplies"";""Storage"";""Safco Steel Mobile File Cart"";166.72;2;0.0;41.68",,,,,
"CA-2011-131926;""2011-01-06"";""2011-06-06"";""Second Class"";""DW-13480"";""Dianna Wilson"";""Home Office"";""United States"";""Lakeville"";""Minnesota"";""55044"";""Central"";""OFF-PA-10004082"";""Office Supplies"";""Paper"";""Adams Telephone Message Book w/Frequently-Called Numbers Space"," 400 Messages per Book"";47.88;6;0.0;23.94",,,,
"CA-2011-131926;""2011-01-06"";""2011-06-06"";""Second Class"";""DW-13480"";""Dianna Wilson"";""Home Office"";""United States"";""Lakeville"";""Minnesota"";""55044"";""Central"";""OFF-AP-10002945"";""Office Supplies"";""Appliances"";""Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room"";1503.25;5;0.0;496.073",,,,,
"CA-2011-131926;""2011-01-06"";""2011-06-06"";""Second Class"";""DW-13480"";""Dianna Wilson"";""Home Office"";""United States"";""Lakeville"";""Minnesota"";""55044"";""Central"";""OFF-PA-10000061"";""Office Supplies"";""Paper"";""Xerox 205"";25.92;4;0.0;12.4416",,,,,
"CA-2014-163139;""2014-02-12"";""2014-04-12"";""Second Class"";""CC-12670"";""Craig Carreira"";""Consumer"";""United States"";""New York City"";""New York"";""10009"";""East"";""TEC-AC-10000290"";""Technology"";""Accessories"";""Sabrent 4-Port USB 2.0 Hub"";20.37;3;0.0;6.9258",,,,,
"CA-2014-163139;""2014-02-12"";""2014-04-12"";""Second Class"";""CC-12670"";""Craig Carreira"";""Consumer"";""United States"";""New York City"";""New York"";""10009"";""East"";""OFF-ST-10002790"";""Office Supplies"";""Storage"";""Safco Industrial Shelving"";221.55;3;0.0;6.6465",,,,,
"CA-2014-163139;""2014-02-12"";""2014-04-12"";""Second Class"";""CC-12670"";""Craig Carreira"";""Consumer"";""United States"";""New York City"";""New York"";""10009"";""East"";""OFF-BI-10003460"";""Office Supplies"";""Binders"";""Acco 3-Hole Punch"";17.52;5;0.2;6.132",,,,,
"CA-2012-130890;""2012-02-11"";""2012-06-11"";""Standard Class"";""JO-15280"";""Jas O'Carroll"";""Consumer"";""United States"";""Los Angeles"";""California"";""90004"";""West"";""FUR-TA-10002903"";""Furniture"";""Tables"";""Bevis Round Bullnose 29"""" High Table Top"""""";1038.84;5;0.2;51.942",,,,,
"CA-2012-144253;""2012-04-05"";""2012-09-05"";""Second Class"";""AS-10225"";""Alan Schoenberger"";""Corporate"";""United States"";""New York City"";""New York"";""10024"";""East"";""FUR-FU-10002671"";""Furniture"";""Furnishings"";""Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp"";26.8;2;0.0;12.864",,,,,
"CA-2011-111003;""2011-01-06"";""2011-06-06"";""Standard Class"";""CR-12625"";""Corey Roper"";""Home Office"";""United States"";""Lakewood"";""New Jersey"";""8701"";""East"";""OFF-BI-10001072"";""Office Supplies"";""Binders"";""GBC Clear Cover", 8-1/2 x 11, unpunched," 25 covers per pack"";45.48;3;0.0;20.9208",,
"CA-2011-111003;""2011-01-06"";""2011-06-06"";""Standard Class"";""CR-12625"";""Corey Roper"";""Home Office"";""United States"";""Lakewood"";""New Jersey"";""8701"";""East"";""OFF-AR-10002135"";""Office Supplies"";""Art"";""Boston Heavy-Duty Trimline Electric Pencil Sharpeners"";289.2;6;0.0;83.868",,,,,
"CA-2011-164973;""2011-04-11"";""2011-09-11"";""Standard Class"";""NM-18445"";""Nathan Mautz"";""Home Office"";""United States"";""New York City"";""New York"";""10024"";""East"";""FUR-CH-10002602"";""Furniture"";""Chairs"";""DMI Arturo Collection Mission-style Design Wood Chair"";135.882;1;0.1;24.1568",,,,,
"CA-2011-164973;""2011-04-11"";""2011-09-11"";""Standard Class"";""NM-18445"";""Nathan Mautz"";""Home Office"";""United States"";""New York City"";""New York"";""10024"";""East"";""TEC-MA-10002927"";""Technology"";""Machines"";""Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier"";3991.98;2;0.0;1995.99",,,,,
"CA-2011-164973;""2011-04-11"";""2011-09-11"";""Standard Class"";""NM-18445"";""Nathan Mautz"";""Home Office"";""United States"";""New York City"";""New York"";""10024"";""East"";""TEC-PH-10004093"";""Technology"";""Phones"";""Panasonic Kx-TS550"";275.94;6;0.0;80.0226",,,,,
"CA-2011-164973;""2011-04-11"";""2011-09-11"";""Standard Class"";""NM-18445"";""Nathan Mautz"";""Home Office"";""United States"";""New York City"";""New York"";""10024"";""East"";""TEC-AC-10000892"";""Technology"";""Accessories"";""NETGEAR N750 Dual Band Wi-Fi Gigabit Router"";360.0;4;0.0;129.6",,,,,
"CA-2011-164973;""2011-04-11"";""2011-09-11"";""Standard Class"";""NM-18445"";""Nathan Mautz"";""Home Office"";""United States"";""New York City"";""New York"";""10024"";""East"";""OFF-ST-10002974"";""Office Supplies"";""Storage"";""Trav-L-File Heavy-Duty Shuttle II"," Black"";43.57;1;0.0;13.071",,,,
"CA-2014-153339;""2014-04-11"";""2014-06-11"";""Second Class"";""DJ-13510"";""Don Jones"";""Corporate"";""United States"";""Murfreesboro"";""Tennessee"";""37130"";""South"";""FUR-FU-10001967"";""Furniture"";""Furnishings"";""Telescoping Adjustable Floor Lamp"";15.992;1;0.2;0.9995",,,,,
"CA-2012-137946;""2012-01-09"";""2012-04-09"";""Second Class"";""DB-13615"";""Doug Bickford"";""Consumer"";""United States"";""Los Angeles"";""California"";""90045"";""West"";""OFF-BI-10001922"";""Office Supplies"";""Binders"";""Storex Dura Pro Binders"";4.752;1;0.2;1.6038",,,,,
"CA-2012-137946;""2012-01-09"";""2012-04-09"";""Second Class"";""DB-13615"";""Doug Bickford"";""Consumer"";""United States"";""Los Angeles"";""California"";""90045"";""West"";""TEC-CO-10001449"";""Technology"";""Copiers"";""Hewlett Packard LaserJet 3310 Copier"";959.984;2;0.2;335.994",,,,,
"CA-2012-137946;""2012-01-09"";""2012-04-09"";""Second Class"";""DB-13615"";""Doug Bickford"";""Consumer"";""United States"";""Los Angeles"";""California"";""90045"";""West"";""OFF-BI-10004140"";""Office Supplies"";""Binders"";""Avery Non-Stick Binders"";14.368;4;0.2;4.49",,,,,
